"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Total revenue and total passenger trips","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","302.6","","","","1"
"2017-01","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","144.2","","","","1"
"2017-01","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-01","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-01","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-01","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-01","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-01","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-01","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-01","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-02","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","314.5","","","","1"
"2017-02","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","143.6","","","","1"
"2017-02","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-02","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-02","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-02","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-02","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-02","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-02","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-02","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-03","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","350.1","","","","1"
"2017-03","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","166.2","","","","1"
"2017-03","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-03","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-03","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-03","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-03","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-03","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-03","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-03","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-04","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","309.6","","","","1"
"2017-04","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","144.4","","","","1"
"2017-04","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-04","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-04","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-04","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-04","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-04","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-04","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-04","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-05","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","307.6","","","","1"
"2017-05","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","144.5","","","","1"
"2017-05","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-05","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-05","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-05","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-05","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-05","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-05","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-05","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-06","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","340.4","","","","1"
"2017-06","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","153.1","","","","1"
"2017-06","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-06","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-06","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-06","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-06","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-06","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-06","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-06","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-07","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","307.3","","","","1"
"2017-07","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","135.6","","","","1"
"2017-07","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-07","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-07","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-07","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-07","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-07","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-07","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-07","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-08","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","303.5","","","","1"
"2017-08","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","132.2","","","","1"
"2017-08","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-08","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-08","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-08","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-08","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-08","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-08","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-08","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-09","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","361.2","","","","1"
"2017-09","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","160.1","","","","1"
"2017-09","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-09","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-09","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-09","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-09","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-09","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-09","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-09","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-10","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","334.8","","","","1"
"2017-10","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","153.5","","","","1"
"2017-10","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-10","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-10","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-10","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-10","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-10","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-10","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-10","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-11","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","337.1","","","","1"
"2017-11","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","154.1","","","","1"
"2017-11","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-11","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-11","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-11","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-11","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-11","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-11","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-11","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-12","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","329.1","","","","1"
"2017-12","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","153.3","","","","1"
"2017-12","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-12","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-12","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-12","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-12","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-12","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-12","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-12","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2018-01","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","335.8","","","","1"
"2018-01","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","154.8","","","","1"
"2018-01","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2018-01","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2018-01","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","4.3","","","","1"
"2018-01","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","2.4","","","","1"
"2018-01","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","240.3","","","","1"
"2018-01","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","107.7","","","","1"
"2018-01","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","91.3","","","","1"
"2018-01","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","44.8","","","","1"
"2018-02","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","329.6","","","","1"
"2018-02","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","155.1","","","","1"
"2018-02","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2018-02","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2018-02","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","4.2","","","","1"
"2018-02","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","2.4","","","","1"
"2018-02","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","238.1","","","","1"
"2018-02","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","106.8","","","","1"
"2018-02","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","87.3","","","","1"
